room_area,money,link,room_location_district,room_location_place,room_location_street
1室0厅1卫????38㎡,2280,http://short.58.com/zd_p/21e3bb9a-1fe5-4a5b-8cff-5f11736a47f4/?target=fh-16-xgk_hvimob_87409496689795q-feykn&end=end,新安,上合花园,距离5号线洪浪北站地铁站849米                                    
1室1厅1卫????35㎡,2200,http://short.58.com/zd_p/ef0a494b-224f-492c-b6b0-1b180d6257fc/?target=fh-16-xgk_hvimob_87757288196700q-feykn&end=end,新安,,
3室1厅1卫????80㎡,3500,http://short.58.com/zd_p/836b155e-0e66-4f5c-996b-6179e244bfd8/?target=fh-16-xgk_hvimob_30581748461332q-feykn&end=end,新安,宝民花园,距离5号线灵芝站地铁站1837米                                    
3室2厅1卫????106㎡,3800,http://short.58.com/zd_p/c1f566b0-a6d3-4f66-9ad8-eaca31062d15/?target=fh-16-xgk_hvimob_30559108975396q-feykn&end=end,新安,宝安花园,距离5号线洪浪北站地铁站1739米                                    
3室2厅1卫????83㎡,5800,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE3bzs_wDHIgRP4yRBO22mo8gT9WSjAhmNjxQOdNeH8eKG9sdCVBpH4XhL2WHrTnZufK3b8lwA5p2LpHwm0RlWlocAMCALJ1RVcbhHJ_Spr6WLIrtUgl9F41olLMeAER1HbkM_-YX10yJIJ057leLrdqDMybbOabIFyuf_sUp0lJ6CCTzo_2_RRRt1FlSoDe_6_yJs_gtc8uFneYvi0rn26g&local=4&pubid=17147467&apptype=0&psid=117087464197040075428830033&entinfo=31139792578219_0&cookie=|||&fzbref=0&key=?ms=busitime^desc,新安,金海华府,距离5号线灵芝站地铁站1731米                                    
3室2厅1卫????120㎡,6500,http://short.58.com/zd_p/2df9fc73-386a-438a-acba-51de6906c829/?target=fh-16-xgk_hvimob_32541235524703q-feykn&end=end,新洲,新洲中心村,距离3号线石厦站地铁站604米                                    
1室0厅1卫????30㎡,900,http://sz.58.com/zufang/31117681844922x.shtml,中心区,,
2室2厅1卫????72㎡,7800,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEc5OrDLz145wthz1OCL_iEsgT9WSjAhmNvZCz-Nb6xB9uQTHwS-fAGHhL2WHrTnZugb8Oz_gkEOjJd6HOrOZj32bQFBJxIZMOiVJI6ueRb3ypeB-UK1L3QZwJHl-KTRo7qPZhMWyomEZyukPmMkDu62eFWvNPmTtZCBj2MCr802SOL46dYK_qEFT-1iM0Ga7-xOpMEEL_3pmVTLJcFlehhqoj08mTC5as&local=4&pubid=17160601&apptype=0&psid=117087464197040075428830033&entinfo=30712216729157_0&cookie=|||&fzbref=0&key=?ms=busitime^desc,中心区,华彩天成,距离11号线南山站地铁站891米                                    
3室2厅2卫????96㎡,8500,http://short.58.com/zd_p/53f213d8-e41b-41bf-b420-5b1ea5dfdcda/?target=fh-16-xgk_hvimob_87409487321237q-feykn&end=end,中心区,橄榄鹏苑,距离2号线岗厦北站地铁站320米                                    
4室1厅2卫????30㎡,3000,http://sz.58.com/zufang/31141782509485x.shtml,中心区,金地名轩,距离7号线沙尾站地铁站306米                                    
次卧(3室)????8㎡,2000,http://sz.58.com/hezu/26202303903681x.shtml,中心区,海滨广场(福田),
主卧(3室)????28㎡,2780,http://sz.58.com/hezu/31141782573614x.shtml,中心区,港丽豪园,
1室0厅1卫????15㎡,1800,http://short.58.com/zd_p/e6c4bec7-ca90-4796-bd9d-d5b159d75a4a/?target=fh-16-xgk_hvimob_87462478628102q-feykn&end=end,竹子林,建业南区(建业小区南区),距离7号线农林站地铁站400米                                    
1室0厅1卫????22㎡,1300,http://short.58.com/zd_p/53b2fd8c-041d-446b-9ea8-b86c9a2fb63e/?target=fh-16-xgk_hvimob_31764397482252q-feykn&end=end,竹子林,金众小区,距离1号线竹子林站地铁站398米                                    
1室0厅1卫????25㎡,2000,http://short.58.com/zd_p/6b3e846f-01a3-4f62-922b-9316d5c66359/?target=fh-16-xgk_hvimob_84691848523239q-feykn&end=end,竹子林,建业南区(建业小区南区),距离7号线农林站地铁站400米                                    
